AoA_deg,CL,Cd,CL/Cd,C_MLE
-7.999999990858666,-0.24025816377815484,0.03193762465448647,-7.522731147897198,0.061949486615567505
-7.990000158460249,-0.2398028942049821,0.031834991540718234,-7.53268283103718,0.061743428107908706
-7.979999753104035,-0.23934767330500398,0.031732525030545834,-7.542660821179755,0.06153739774317664
-7.969999920705617,-0.23889249285788042,0.03163023003602096,-7.552663783533228,0.06133138797642377
-7.960000088307198,-0.23843735302037272,0.031528103166593775,-7.562692616186746,0.061125395103807115
-7.95000025590878,-0.23798223726629258,0.03142614304381367,-7.572747216688434,0.06091941258912017
-7.939999850552566,-0.23752717656650238,0.0313243500053523,-7.58282858306451,0.060713464709379196
-7.930000018154149,-0.23707215688674582,0.031222728569913823,-7.592935266880814,0.060507529872337006
-7.920000185755731,-0.23661716154015455,0.03112127324103094,-7.603068155585406,0.06030160849060234
-7.9099997803995175,-0.23616220736109395,0.031019983412817715,-7.613228034916026,0.06009570968835556
-7.899999948001099,-0.23570728762945725,0.030918863923482306,-7.623413596721512,0.059889830113875636
-7.890000115602681,-0.23525241912930658,0.030817913741870068,-7.633625724952503,0.05968397041687708
-7.880000283204262,-0.23479759138431605,0.030717132055841413,-7.643864373714052,0.05947813431359448
-7.86999987784805,-0.23434277418158872,0.030616512111252152,-7.654130337578959,0.05927230098117481
-7.860000045449631,-0.23388802898063824,0.030516066829474806,-7.664422492178149,0.0590665018306023
-7.850000213051213,-0.23343328407993041,0.030415784660686864,-7.674741476640206,0.0588607071662307
-7.8399998076949995,-0.23297858004478925,0.030315667577513226,-7.685088228688788,0.05865492845645287
-7.82999997529658,-0.23252394718536407,0.0302157251904557,-7.695461410233234,0.0584491880379515
-7.820000142898162,-0.23206935174090604,0.030115950565902806,-7.705861756980512,0.05824346338788943
-7.809999737541948,-0.23161476219543023,0.030016336777080644,-7.716290096141333,0.058037744877742534
-7.799999905143532,-0.23116019854885417,0.029916891650547,-7.726745186264283,0.057832038876644114
-7.790000072745112,-0.2307056916209075,0.02981761640220404,-7.737227835684893,0.05762635925640664
-7.780000240346694,-0.23025127731142628,0.02971851546866724,-7.747738192178014,0.05742072482320115
-7.769999834990481,-0.22979679362843675,0.02961956606398483,-7.758276847541409,0.05721505761548029
-7.760000002592062,-0.22934242760251852,0.02952079647196132,-7.76884281629551,0.05700944719325655
-7.750000170193645,-0.22888806847248833,0.02942219055607328,-7.779436681856499,0.05680384235783462
-7.739999764837432,-0.2284337278448433,0.02932374721522316,-7.790059236571716,0.05659824582994852
-7.729999932439013,-0.22797944174181198,0.02922547551855648,-7.80070940495248,0.056392676159065465
-7.720000100040594,-0.22752521484826727,0.029127373712445215,-7.811387909341543,0.056187134143262873
-7.710000267642176,-0.2270710051240794,0.029029436988501387,-7.822094696980264,0.05598160047109863
-7.699999862285963,-0.22661683891920575,0.02893166540662741,-7.832830766364883,0.05577609195353727
-7.690000029887545,-0.2261626689471593,0.028834058499600863,-7.843594718041166,0.05557057593204303
-7.680000197489127,-0.22570857699574867,0.02873662367272697,-7.854387473151956,0.055365103934884786
-7.669999792132914,-0.22525450311325762,0.028639350843276335,-7.865209806811688,0.05515964128165767
-7.659999959734495,-0.22480045122570427,0.02854224591537716,-7.876060345503254,0.05495418536430097
-7.650000127336075,-0.2243464543231142,0.028445310054833965,-7.886940022472668,0.05474875875651045
-7.639999721979862,-0.22389247846425162,0.028348536472410767,-7.8978496361583685,0.05454334437336853
-7.629999889581444,-0.22343856841013116,0.028251936251329157,-7.908787787938575,0.0543379577278237
