tester
1.000000 -0.072268
0.872655 -0.043034
0.761777 -0.006790
0.734913 -0.006236
0.656449 0.017526
0.555095 0.016673
0.487606 0.015622
0.461033 0.016301
0.419490 0.027815
0.388490 0.025884
0.362917 0.021464
0.300823 0.020483
0.231736 0.021994
0.109982 0.017056
0.096578 0.014562
0.000000 0.000000
0.153271 -0.030255
0.273167 -0.046745
0.325474 -0.049700
0.378188 -0.050550
0.417454 -0.055390
0.461292 -0.054215
0.488594 -0.058937
0.600146 -0.070931
0.622313 -0.073251
0.667852 -0.079361
0.740172 -0.090751
0.768158 -0.092853
0.816812 -0.091858
0.893702 -0.100707
1.000000 -0.072268

