Camber (Flaps Slats) test
     1.000000   -0.030000
     0.987510   -0.025048
     0.969039   -0.017895
     0.950786   -0.011031
     0.932656   -0.004417
     0.914554    0.001977
     0.896387    0.008180
     0.878050    0.014218
     0.859425    0.020116
     0.840367    0.025900
     0.820690    0.031599
     0.800140    0.037246
     0.778339    0.042886
     0.754666    0.048590
     0.727949    0.054481
     0.695771    0.060776
     0.665874    0.065791
     0.642060    0.069158
     0.621678    0.071572
     0.603444    0.073357
     0.586646    0.074686
     0.570841    0.075662
     0.555730    0.076351
     0.541091    0.076794
     0.526752    0.077023
     0.512568    0.077054
     0.498407    0.076900
     0.484143    0.076567
     0.469646    0.076053
     0.454767    0.075353
     0.439330    0.074451
     0.423105    0.073324
     0.405767    0.071930
     0.386815    0.070200
     0.365361    0.068004
     0.339491    0.065054
     0.303126    0.060422
     0.264169    0.054930
     0.237594    0.050920
     0.216666    0.047624
     0.199060    0.044761
     0.183716    0.042199
     0.170045    0.039862
     0.157682    0.037704
     0.146382    0.035692
     0.135971    0.033804
     0.126319    0.032022
     0.117329    0.030334
     0.108924    0.028728
     0.101042    0.027196
     0.093634    0.025732
     0.086657    0.024330
     0.080077    0.022984
     0.073866    0.021692
     0.067997    0.020449
     0.062451    0.019251
     0.057208    0.018098
     0.052252    0.016986
     0.047571    0.015913
     0.043150    0.014877
     0.038980    0.013878
     0.035052    0.012913
     0.031357    0.011981
     0.027888    0.011081
     0.024638    0.010213
     0.021603    0.009374
     0.018778    0.008566
     0.016158    0.007786
     0.013740    0.007035
     0.011522    0.006311
     0.009500    0.005615
     0.007674    0.004946
     0.006042    0.004304
     0.004603    0.003688
     0.003358    0.003098
     0.002305    0.002535
     0.001447    0.001998
     0.000783    0.001487
     0.000316    0.001003
     0.000049    0.000545
     0.000018    0.000000
     0.000121   -0.000291
     0.000463   -0.000669
     0.001006   -0.001021
     0.001748   -0.001348
     0.002688   -0.001650
     0.003823   -0.001928
     0.005155   -0.002182
     0.006681   -0.002412
     0.008404   -0.002620
     0.010324   -0.002804
     0.012441   -0.002965
     0.014759   -0.003104
     0.017280   -0.003220
     0.020006   -0.003313
     0.022942   -0.003384
     0.026092   -0.003431
     0.029460   -0.003456
     0.033052   -0.003458
     0.036876   -0.003436
     0.040939   -0.003391
     0.045250   -0.003321
     0.049818   -0.003226
     0.054655   -0.003106
     0.059774   -0.002959
     0.065191   -0.002786
     0.070921   -0.002584
     0.076985   -0.002354
     0.083407   -0.002092
     0.090213   -0.001798
     0.097435   -0.001470
     0.105112   -0.001105
     0.113288   -0.000700
     0.122020   -0.000253
     0.131377    0.000242
     0.141447    0.000789
     0.152342    0.001395
     0.164214    0.002070
     0.177272    0.002825
     0.191817    0.003678
     0.208318    0.004656
     0.227573    0.005801
     0.251163    0.007200
     0.283206    0.009059
     0.325102    0.011343
     0.354273    0.012788
     0.377232    0.013824
     0.397024    0.014634
     0.414866    0.015290
     0.431395    0.015828
     0.447000    0.016268
     0.461949    0.016623
     0.476438    0.016900
     0.490626    0.017103
     0.504647    0.017232
     0.518630    0.017285
     0.532701    0.017260
     0.546994    0.017149
     0.561666    0.016941
     0.576908    0.016621
     0.592972    0.016165
     0.610210    0.015539
     0.629164    0.014685
     0.650743    0.013502
     0.676692    0.011792
     0.709660    0.009191
     0.739897    0.006418
     0.765786    0.003768
     0.789229    0.001159
     0.811122   -0.001450
     0.831969   -0.004082
     0.852094   -0.006755
     0.871722   -0.009483
     0.891021   -0.012279
     0.910130   -0.015153
     0.929164   -0.018118
     0.948229   -0.021187
     0.967426   -0.024375
     0.986856   -0.027698
     1.000000   -0.030000
