optimum
1.000000 -0.096716
0.900716 -0.060393
0.816945 -0.038959
0.779800 -0.037183
0.689776 -0.025637
0.595805 0.000688
0.551507 -0.001411
0.530352 0.000691
0.426301 0.020802
0.375099 0.032176
0.274415 0.027240
0.222993 0.027863
0.180594 0.022827
0.159331 0.020571
0.079801 0.008236
0.000000 0.000000
0.013889 -0.003650
0.085991 -0.019090
0.181193 -0.033513
0.257671 -0.044198
0.300053 -0.046801
0.371885 -0.059595
0.426536 -0.066698
0.514138 -0.071540
0.613321 -0.079562
0.654698 -0.083933
0.733038 -0.091359
0.816933 -0.102167
0.870992 -0.108059
0.932298 -0.112295
1.000000 -0.096716
