Airfoil:,flat_diamond
Method,friction
Mach:,1.9,Pressure:,101325,Density:,1.225,Temperature:,273.15
AoA_deg,CL,Cd,Cl/Cd
0.0,0.0,0.004589513971773146,0.0
0.9999998556178845,-8.027910133119961e-05,0.0045893697084626785,-0.017492402319030223
2.0000002841935642,-0.0001605938536016648,0.004588937568540878,-0.03499586804200695
3.0000001398114486,-0.00024098007380797092,0.0045882204852106786,-0.05252146765499343
3.999999995429333,-0.00032147429418737485,0.004587223471737398,-0.07008036477141964
4.999999851047218,-0.0004021139582676666,0.004585954278072695,-0.08768381320117742
6.000000279622897,-0.00048293796610286607,0.004584424155094027,-0.10534321209485926
7.000000135240782,-0.0005639872744565453,0.004582651385740306,-0.12307008039308576
7.999999990858666,-0.0006453062808231309,0.004580664158822637,-0.14087613901583068
8.999999846476552,-0.0007269436922454496,0.0045784993862720644,-0.15877335146643898
10.000000275052232,-0.000808954577313419,0.004576207881511786,-0.1767740011509649
