Airfoil:,flat_diamond
Method,ackeret
Mach:,1.9,Pressure:,101325,Density:,1.225,Temperature:,273.15
AoA_deg,CL,Cd,Cl/Cd,C_MLE
0.0,-5.683270167848954e-17,0.0014732921940725989,-3.857530903044276e-14,-1.4208175419622386e-17
0.9999998556178845,0.04305231118764906,0.0022249973962936175,19.349375985502387,-0.021542292833648016
2.0000002841935642,0.08606528689595457,0.00447965670353427,19.21247376569113,-0.04308459801012239
3.0000001398114486,0.12899953769599898,0.008235893675739224,15.66308924992532,-0.06462689084377035
3.999999995429333,0.17181578808647943,0.01349142011212204,12.735189228308364,-0.08616918367741842
4.999999851047218,0.2144747978250833,0.020243032790439274,10.594993351311427,-0.10771147651106644
6.000000279622897,0.25693743078680525,0.02848662094188527,9.01958260725187,-0.12925378168754084
7.000000135240782,0.29916457765470467,0.038217148383559045,7.828019365866784,-0.15079607452118882
7.999999990858666,0.3411173217857158,0.049428684159627354,6.9012017532996675,-0.17233836735483676
8.999999846476552,0.3827568615603159,0.062114387213247094,6.1621289162245105,-0.19388066018848482
10.000000275052232,0.42404457806579016,0.07626652233729234,5.5600355840329625,-0.21542296536495917
