Airfoil:,flat_diamond
Method,wave
Mach:,1.9,Pressure:,101325,Density:,1.225,Temperature:,273.15
AoA_deg,CL,Cd,Cl/Cd,C_MLE
0.0,0.0,0.0014849483034386384,0.0,-0.0
0.9999998556178845,0.04387476335876382,0.002252123938572651,19.481504817435017,-0.019713690407494506
2.0000002841935642,0.08779544679626676,0.004556207417141587,19.269413957309848,-0.03946580806623298
3.0000001398114486,0.13180945001026964,0.008404951634578408,15.682356751227301,-0.05929529451201558
3.999999995429333,0.17596703485861712,0.013811567195270985,12.74055524407595,-0.07924199329143367
4.999999851047218,0.220323348331004,0.02079520061985374,10.59491333402455,-0.09934730834005286
6.000000279622897,0.26494074808817014,0.029381692236900566,9.017205202205139,-0.11965480818992312
7.000000135240782,0.30989047711169215,0.03960451785731321,7.824624408461749,-0.14021017866492802
7.999999990858666,0.355256493766723,0.05150628630544276,6.897342426514304,-0.161061701264514
8.999999846476552,0.4011445709178512,0.06514152766741745,6.158046721991386,-0.18226253871548623
10.000000275052232,0.44769288114590144,0.08058084629557674,5.555822527647941,-0.20387162112156224
