Airfoil:,flat_diamond
Method,combined
Mach:,1.9,Pressure:,101325,Density:,1.225,Temperature:,273.15
AoA_deg,CL,Cd,Cl/Cd
0.0,0.0,0.006074462275211785,0.0
0.9999998556178845,0.04379448425743262,0.0068414936470353295,6.401304527471187
2.0000002841935642,0.0876348529426651,0.009145144985682465,9.582664143637441
3.0000001398114486,0.13156846993646168,0.012993172119789086,10.125969911233454
3.999999995429333,0.17564556056442973,0.018398790667008384,9.546581823955794
4.999999851047218,0.21992123437273634,0.025381154897926438,8.664744975442517
6.000000279622897,0.26445781012206726,0.033966116391994594,7.785930162578045
7.000000135240782,0.3093264898372356,0.04418716924305352,7.000369001593455
7.999999990858666,0.35461118748589987,0.0560869504642654,6.322525731040285
8.999999846476552,0.40041762722560575,0.06972002705368952,5.74322248781193
10.000000275052232,0.44688392656858805,0.08515705417708852,5.247761690291326
